epoch,train_loss,test_acc@1,test_acc@5
140,4.676595719655355,81.5,97.87
141,4.673652959481264,0.0,0.0
142,4.673721499320788,0.0,0.0
143,4.670481808980306,0.0,0.0
144,4.670744260152181,0.0,0.0
145,4.672180740649884,82.19999999999999,97.77
146,4.670345629178561,0.0,0.0
147,4.670050479204226,0.0,0.0
148,4.6714062617375305,0.0,0.0
149,4.666305453960712,0.0,0.0
150,4.672757816314697,82.37,97.98
151,4.670354862702198,0.0,0.0
152,4.670223468389267,0.0,0.0
153,4.668447274428147,0.0,0.0
154,4.667727091373542,0.0,0.0
155,4.664797589717767,82.03,97.82
156,4.664186458098583,0.0,0.0
157,4.665656622862205,0.0,0.0
158,4.6669896370325334,0.0,0.0
159,4.661277665847387,0.0,0.0
160,4.66351194137182,82.39,97.76
161,4.663183420132368,0.0,0.0
162,4.664421103550837,0.0,0.0
163,4.666103238325853,0.0,0.0
164,4.663827588008,0.0,0.0
165,4.662614105909299,82.48,97.96000000000001
166,4.661649180681278,0.0,0.0
167,4.659801683670435,0.0,0.0
168,4.659641014001308,0.0,0.0
169,4.661982237987029,0.0,0.0
170,4.660797048226381,82.77,98.0
171,4.6598593198336085,0.0,0.0
172,4.66459233210637,0.0,0.0
173,4.65964893927941,0.0,0.0
174,4.658555458753537,0.0,0.0
175,4.657460462130033,82.94,97.91
176,4.6582224381275665,0.0,0.0
177,4.659490668467987,0.0,0.0
178,4.658058613997239,0.0,0.0
179,4.657275038499098,0.0,0.0
180,4.653964649102627,83.43,98.08
181,4.65558689557589,0.0,0.0
182,4.658589001190968,0.0,0.0
183,4.656791794605744,0.0,0.0
184,4.655778867770464,0.0,0.0
185,4.657071076906645,83.65,98.22
186,4.6528397804651505,0.0,0.0
187,4.655238902263152,0.0,0.0
188,4.655420457399808,0.0,0.0
189,4.652957429641332,0.0,0.0
190,4.653778396508632,83.56,98.07000000000001
191,4.650588101607102,0.0,0.0
192,4.650474474980281,0.0,0.0
193,4.650846967941676,0.0,0.0
194,4.6526019634344635,0.0,0.0
195,4.65023205096905,83.50999999999999,97.99
196,4.649524554228171,0.0,0.0
197,4.653118942945431,0.0,0.0
198,4.6494936722975515,0.0,0.0
199,4.6484404197105995,0.0,0.0
200,4.648850873800424,83.58,98.16
