epoch,train_loss,test_acc@1,test_acc@5
1,5.386250165792612,0.0,0.0
2,5.18628195982713,0.0,0.0
3,5.1067221886072405,0.0,0.0
4,5.058854592152131,0.0,0.0
5,5.013051179739145,55.47,93.30000000000001
6,4.988051996475611,0.0,0.0
7,4.957105908027062,0.0,0.0
8,4.938862663660294,0.0,0.0
9,4.922153543814635,0.0,0.0
10,4.912087592100486,61.49,94.78
11,4.8966104605259035,0.0,0.0
12,4.884367086948493,0.0,0.0
13,4.875709037291698,0.0,0.0
14,4.866198136256291,0.0,0.0
15,4.8621987171662155,66.2,95.41
16,4.855016373365354,0.0,0.0
17,4.845805163261218,0.0,0.0
18,4.840976910713391,0.0,0.0
19,4.8403616073804026,0.0,0.0
20,4.829007385938596,68.56,96.05
21,4.825411527584761,0.0,0.0
22,4.823547967274984,0.0,0.0
23,4.821158793033698,0.0,0.0
24,4.813453921293601,0.0,0.0
25,4.810428504454784,69.86,96.09
26,4.809129832341121,0.0,0.0
27,4.804913618625739,0.0,0.0
28,4.8033298247899765,0.0,0.0
29,4.795671641520965,0.0,0.0
30,4.797124163309733,72.11,96.27
31,4.790252172029936,0.0,0.0
32,4.7882112723130446,0.0,0.0
33,4.784889287215012,0.0,0.0
34,4.785875159043532,0.0,0.0
35,4.780402562557122,72.16,96.59
36,4.779643902411828,0.0,0.0
37,4.776499036642221,0.0,0.0
38,4.775839160038875,0.0,0.0
39,4.7711773016513925,0.0,0.0
40,4.770467655475323,73.33,96.6
41,4.76968806829208,0.0,0.0
42,4.767728876456236,0.0,0.0
43,4.768388156401805,0.0,0.0
44,4.764157165625156,0.0,0.0
45,4.759248344714825,74.27,96.74000000000001
46,4.75890833292252,0.0,0.0
47,4.759648210574419,0.0,0.0
48,4.757577815422645,0.0,0.0
49,4.750642918317746,0.0,0.0
50,4.749966283944937,75.44,96.89999999999999
51,4.75047057225154,0.0,0.0
52,4.748846596937913,0.0,0.0
53,4.74487237685766,0.0,0.0
54,4.7458192825317385,0.0,0.0
55,4.742988762488732,76.11,97.05
56,4.745720388950446,0.0,0.0
57,4.742554473876953,0.0,0.0
58,4.736975576938727,0.0,0.0
59,4.740116503299811,0.0,0.0
60,4.736262380159818,76.44,97.22
61,4.735241134350116,0.0,0.0
62,4.732824350014711,0.0,0.0
63,4.732206254127698,0.0,0.0
64,4.732784202771309,0.0,0.0
65,4.732551728762113,77.25999999999999,97.28
66,4.731103434929481,0.0,0.0
67,4.728920293465639,0.0,0.0
68,4.728853775904729,0.0,0.0
69,4.727780136695275,0.0,0.0
70,4.727191435985076,77.91,97.37
71,4.723681577046713,0.0,0.0
72,4.723644193013509,0.0,0.0
73,4.721885730058719,0.0,0.0
74,4.717766404763246,0.0,0.0
75,4.7187312859755295,77.78,97.24000000000001
76,4.719340062752748,0.0,0.0
77,4.717270374298096,0.0,0.0
78,4.716372000865447,0.0,0.0
79,4.714010982024364,0.0,0.0
80,4.7149915841909555,78.03,97.17
81,4.711052009386894,0.0,0.0
82,4.71312281535222,0.0,0.0
83,4.7082285245259605,0.0,0.0
84,4.710282851488162,0.0,0.0
85,4.70951475974841,78.7,97.39999999999999
86,4.70988686634944,0.0,0.0
87,4.709510984176244,0.0,0.0
88,4.707867957384158,0.0,0.0
89,4.707354596944955,0.0,0.0
90,4.7075417860960345,79.24,97.48
91,4.707163700690637,0.0,0.0
92,4.702191208570431,0.0,0.0
93,4.707846194047194,0.0,0.0
94,4.703406243446546,0.0,0.0
95,4.702748699677296,79.51,97.31
96,4.700037701924642,0.0,0.0
97,4.702284194261599,0.0,0.0
98,4.699741319509653,0.0,0.0
99,4.70211964631692,0.0,0.0
100,4.699914619250175,79.65,97.48
101,4.696092116527068,0.0,0.0
102,4.697391216571514,0.0,0.0
103,4.696386254139435,0.0,0.0
104,4.692196415632199,0.0,0.0
105,4.69518520404131,79.91,97.44
106,4.694330347501315,0.0,0.0
107,4.693031191214537,0.0,0.0
108,4.6932731261620155,0.0,0.0
109,4.689265053088849,0.0,0.0
110,4.694446928073198,80.36,97.59
111,4.695765434167324,0.0,0.0
112,4.690866003281031,0.0,0.0
113,4.68781495705629,0.0,0.0
114,4.688715563064966,0.0,0.0
115,4.687855840340639,80.61,97.7
116,4.687559362558218,0.0,0.0
117,4.6858237755604275,0.0,0.0
118,4.681546404422858,0.0,0.0
119,4.682332452138265,0.0,0.0
120,4.686485972771278,80.66,97.8
121,4.6842860955458425,0.0,0.0
122,4.683177397801326,0.0,0.0
123,4.68474793556409,0.0,0.0
124,4.681614919809195,0.0,0.0
125,4.6799255860157505,81.3,97.84
126,4.681408385741405,0.0,0.0
127,4.679809110592573,0.0,0.0
128,4.679003143310547,0.0,0.0
129,4.679928004436004,0.0,0.0
130,4.677929785312751,81.17,97.75
131,4.678788300049611,0.0,0.0
132,4.677188941759941,0.0,0.0
133,4.681343054160093,0.0,0.0
134,4.681220081524971,0.0,0.0
135,4.6751772856101015,81.88,97.83
136,4.676081373752692,0.0,0.0
137,4.680101700318166,0.0,0.0
138,4.67407758908394,0.0,0.0
139,4.672257557893411,0.0,0.0
