epoch,train_loss,train_acc@1,train_acc@5,test_loss,test_acc@1,test_acc@5
29,0.6401623155403138,77.416,97.774,0.4552715176105499,85.02,99.53
30,0.6299006834220886,77.996,97.77,0.461806999874115,84.92,99.21
31,0.6230907070541382,78.11200000000001,97.78,0.4449224816799164,84.99,99.45
32,0.6128748322868347,78.79599999999999,97.944,0.42243582310676575,86.05000000000001,99.49
33,0.6051792494010926,79.018,97.858,0.48517001662254333,84.46000000000001,99.39
34,0.605219850063324,78.922,97.87,0.4365674798488617,85.83,99.55000000000001
35,0.5975085869216918,79.038,97.882,0.3964637056827545,86.53,99.57000000000001
36,0.5909283560371399,79.54599999999999,97.896,0.38446567533016207,86.79,99.6
37,0.5772261759567261,79.84400000000001,98.03399999999999,0.44548100533485413,85.68,99.46000000000001
38,0.5750477104568481,79.984,97.994,0.3748066847324371,87.27000000000001,99.63
39,0.5703042686843872,80.082,97.98,0.4299005175113678,85.94000000000001,99.63
40,0.570261699180603,80.14,98.044,0.416184051501751,86.24000000000001,99.52
41,0.5597986356544494,80.39,98.194,0.4348042525291443,86.02,99.5
42,0.5567368690681458,80.604,98.166,0.423263116812706,86.42,99.41
43,0.5494090185546875,80.78800000000001,98.154,0.40137807540893555,86.64,99.57000000000001
44,0.5471664220809936,80.888,98.20400000000001,0.4540830129623413,85.96000000000001,99.28
45,0.5434426461601257,80.85799999999999,98.114,0.3732614031791687,88.11,99.63
46,0.5348924518585205,81.22200000000001,98.32600000000001,0.41115466203689577,86.83,99.35000000000001
47,0.5300962449645996,81.45400000000001,98.212,0.3606817219257355,88.14999999999999,99.45
48,0.5307479574203491,81.65,98.22999999999999,0.3498557231903076,88.22,99.65
49,0.5241153812408448,81.69800000000001,98.324,0.3693457085609436,88.38000000000001,99.53999999999999
50,0.5187636287117005,81.736,98.256,0.4097341213226318,87.03999999999999,99.57000000000001
51,0.5210117824935913,81.744,98.244,0.37265865268707277,88.39,99.58
52,0.5115595259284973,82.26400000000001,98.34,0.37292864279747007,88.53,99.65
53,0.5102387235450745,82.152,98.422,0.3637585774898529,88.55,99.61
54,0.5025257736206055,82.518,98.372,0.39762302713394165,87.8,99.61
55,0.5044563816928863,82.426,98.374,0.3503393854141235,88.72,99.61
56,0.4918302277755737,83.03,98.428,0.3416574673175812,89.18,99.76
57,0.49506879899024964,82.652,98.478,0.3457091325759888,89.27000000000001,99.6
58,0.47995604491233823,83.192,98.50999999999999,0.4036726706504822,87.79,99.59
59,0.4951902651977539,82.686,98.436,0.30681324841976165,90.01,99.71
60,0.4845683342170715,83.19,98.38,0.34224166152477264,89.52,99.67
61,0.4758463283920288,83.37400000000001,98.452,0.37647812938690184,88.08,99.63
62,0.4707461967277527,83.604,98.47399999999999,0.3404274550914764,89.34,99.66000000000001
63,0.4773031593132019,83.486,98.368,0.3633616548538208,88.89,99.71
64,0.4728700379562378,83.60600000000001,98.578,0.355209525680542,88.86,99.64
65,0.4768686009311676,83.482,98.398,0.38084102506637574,88.31,99.58
66,0.46776515953063963,83.71600000000001,98.502,0.33993723692893985,89.77000000000001,99.69
67,0.4649789072322845,83.724,98.436,0.3727061165094376,88.69,99.67
68,0.463277125415802,83.784,98.58200000000001,0.3722632050037384,88.98,99.61
69,0.45092806425094606,84.198,98.612,0.3895944152355194,88.6,99.56
70,0.4572306934928894,83.97,98.466,0.33887637671232224,89.96,99.66000000000001
71,0.457738544178009,84.074,98.56200000000001,0.35700987434387205,89.17,99.59
72,0.44611014912605285,84.548,98.584,0.3787978971004486,88.97,99.63
