epoch,train_loss,train_acc@1,train_acc@5,test_loss,test_acc@1,test_acc@5
1,2.129831936798096,21.428,72.666,2.025881210708618,24.69,79.55
2,1.984510062942505,28.204,80.612,1.9494343784332275,28.18,80.97999999999999
3,1.9253229516220092,30.322,82.30199999999999,1.9038207515716552,30.89,82.8
4,1.8902028008651734,32.242,83.39800000000001,1.8749536533355713,32.0,83.42
5,1.8643671872329712,33.186,83.71,1.8479676441192627,33.7,84.28999999999999
6,1.846825518798828,33.864,84.428,1.8321744705200196,33.58,84.67
7,1.8308123598480224,34.361999999999995,84.73,1.8221148391723634,33.83,84.97
8,1.817628907470703,34.974,85.0,1.8337102115631103,33.2,84.15
9,1.807443565940857,35.204,85.27799999999999,1.8128481161117553,34.36,85.03
10,1.798096802330017,35.589999999999996,85.69,1.8072711496353149,33.7,84.97
11,1.7898354944229127,36.038,85.574,1.7949743825912476,34.699999999999996,85.19
12,1.7850092446899415,35.99,85.60600000000001,1.8116207397460937,34.14,84.88
13,1.7773928647232056,36.378,85.75,1.783668385696411,35.54,85.42
14,1.769297901687622,36.724000000000004,86.048,1.793842332458496,35.160000000000004,85.32
15,1.7690873580551147,36.684,86.016,1.801485317993164,34.36,85.33
16,1.7630475425720216,36.68,86.162,1.7788338569641113,35.8,85.41
17,1.7577563055038452,37.132,86.30600000000001,1.777583394241333,35.02,85.82
18,1.7565619414520264,37.034,86.29400000000001,1.7700374479293823,36.21,86.02
19,1.7503478131103516,37.362,86.438,1.782436640548706,34.449999999999996,85.58
20,1.749790817489624,37.11,86.424,1.7649556098937988,36.19,85.92999999999999
21,1.745075085067749,37.318,86.636,1.7793401767730712,34.63,85.83
22,1.7438218979263305,37.658,86.512,1.7684464149475099,35.199999999999996,85.84
23,1.741180715675354,37.54,86.63,1.7847223852157592,34.97,85.11
24,1.7397422481918334,37.522,86.558,1.7652278188705444,35.96,85.86
25,1.7369104198455811,37.774,86.556,1.7573080863952637,35.99,86.29
26,1.735253950767517,37.885999999999996,86.706,1.7661914834976196,36.36,86.1
27,1.733813656578064,38.078,86.648,1.7653806865692139,36.03,85.79
28,1.7311794890594483,37.775999999999996,86.874,1.7627590105056763,36.14,86.09
29,1.7274609783554078,38.198,87.058,1.7845362785339356,34.599999999999994,85.34
30,1.726837066078186,38.022,86.964,1.760348232650757,35.66,86.27
31,1.7271350798416139,38.038,86.97,1.7696611827850341,35.199999999999996,85.95
32,1.724434125366211,37.96,87.022,1.7598185583114625,36.309999999999995,85.92999999999999
33,1.725336868019104,38.279999999999994,86.938,1.7618509410858154,35.99,85.82
34,1.7232103006744384,38.15,86.874,1.766142148590088,35.47,85.99
35,1.7243928293609618,38.046,86.944,1.7518912008285523,36.35,86.4
36,1.7194152893829346,38.488,86.996,1.7634304683685302,36.05,86.17
37,1.7203777334976196,38.257999999999996,86.936,1.7699084157943725,35.5,86.08
38,1.7178987295150756,38.262,87.15,1.757872029876709,35.67,86.28
39,1.7161376630401612,38.43,87.02,1.7600729473114014,35.49,86.35000000000001
40,1.7178776284790038,38.522,87.048,1.7526433839797975,36.34,86.2
41,1.715915097732544,38.218,87.088,1.772286086845398,35.07,85.72999999999999
42,1.7158075444793701,38.346000000000004,87.252,1.7577925785064696,36.19,86.03
43,1.7172019373321534,38.364,87.09400000000001,1.7564592388153075,35.980000000000004,86.25
44,1.7146860088729858,38.512,87.224,1.7510845100402832,35.980000000000004,86.38
45,1.7135993426513672,38.35,87.3,1.7558563961029052,36.08,85.91
46,1.711349564857483,38.674,87.322,1.7524968509674073,36.01,86.42999999999999
47,1.712099504737854,38.628,87.168,1.7514555631637574,36.49,86.21
48,1.7101500968170167,38.856,87.152,1.7641193553924561,35.68,86.11
49,1.711224110107422,38.542,87.28200000000001,1.7653713672637938,35.620000000000005,85.94000000000001
50,1.7135185439682006,38.401999999999994,87.152,1.7686733158111572,34.78,85.82
51,1.7130125415039064,38.506,87.342,1.7670453460693358,35.94,85.94000000000001
52,1.7081907929229736,38.674,87.208,1.7572386976242065,36.120000000000005,86.11999999999999
53,1.7098115588760376,38.618,87.254,1.7519219051361083,35.980000000000004,86.2
